person_id: 900011, donation_date: 2023-02-26 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-03-12 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-03-26 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-04-09 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-04-23 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-05-07 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-05-21 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-06-11 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-06-25 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-07-09 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-07-23 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-09-10 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-09-24 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-10-08 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-10-22 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-11-05 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-11-19 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-12-03 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2023-12-17 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-01-14 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-01-28 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-02-11 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-02-25 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-03-10 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-03-24 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-04-07 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-04-21 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-05-05 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-05-19 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-06-09 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-06-23 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-07-14 00:00:00, hub_id: 30001
person_id: 900011, donation_date: 2024-07-28 00:00:00, hub_id: 30001
